snp-dists 0.7.0	PG1	PG10	PG100	PG101	PG102	PG103	PG104	PG105	PG106	PG107	PG108	PG109	PG11	PG110	PG111	PG112	PG113	PG114	PG115	PG116	PG117	PG118	PG119	PG12	PG120	PG121	PG122	PG123	PG124	PG125	PG126	PG127	PG128	PG129	PG13	PG130	PG131	PG132	PG133	PG134	PG135	PG136	PG137	PG138	PG139	PG14	PG140	PG141	PG142	PG143	PG144	PG145	PG146	PG147	PG148	PG149	PG15	PG150	PG151	PG152	PG153	PG154	PG155	PG156	PG157	PG158	PG159	PG16	PG160	PG161	PG162	PG163	PG164	PG165	PG166	PG167	PG168	PG169	PG17	PG170	PG171	PG172	PG173	PG174	PG175	PG176	PG177	PG178	PG179	PG18	PG180	PG181	PG182	PG183	PG184	PG185	PG186	PG187	PG188	PG189	PG19	PG190	PG191	PG192	PG193	PG194	PG195	PG196	PG197	PG198	PG199	PG2	PG20	PG200	PG201	PG202	PG203	PG204	PG205	PG206	PG207	PG208	PG209	PG21	PG210	PG211	PG212	PG213	PG214	PG215	PG216	PG217	PG218	PG219	PG22	PG220	PG221	PG222	PG223	PG224	PG225	PG226	PG227	PG228	PG229	PG23	PG230	PG231	PG232	PG233	PG234	PG235	PG236	PG237	PG238	PG239	PG24	PG240	PG241	PG242	PG243	PG244	PG245	PG246	PG247	PG248	PG249	PG25	PG250	PG251	PG252	PG253	PG254	PG255	PG256	PG257	PG258	PG259	PG26	PG260	PG261	PG262	PG263	PG264	PG265	PG266	PG267	PG268	PG269	PG27	PG270	PG271	PG272	PG273	PG274	PG275	PG276	PG277	PG278	PG279	PG28	PG280	PG281	PG282	PG283	PG284	PG285	PG286	PG287	PG288	PG289	PG29	PG290	PG291	PG292	PG293	PG294	PG295	PG296	PG297	PG298	PG299	PG3	PG30	PG300	PG301	PG302	PG303	PG304	PG305	PG306	PG307	PG308	PG309	PG31	PG310	PG311	PG312	PG313	PG314	PG315	PG316	PG317	PG318	PG319	PG32	PG320	PG321	PG322	PG323	PG324	PG325	PG326	PG327	PG328	PG329	PG33	PG330	PG331	PG332	PG333	PG334	PG335	PG336	PG337	PG338	PG339	PG34	PG340	PG341	PG342	PG343	PG344	PG345	PG346	PG347	PG348	PG349	PG35	PG350	PG36	PG37	PG38	PG39	PG4	PG40	PG41	PG42	PG43	PG44	PG45	PG46	PG47	PG48	PG49	PG5	PG50	PG51	PG52	PG53	PG54	PG55	PG56	PG57	PG58	PG59	PG6	PG60	PG61	PG62	PG63	PG64	PG65	PG66	PG67	PG68	PG69	PG7	PG70	PG71	PG72	PG73	PG74	PG75	PG76	PG77	PG78	PG79	PG8	PG80	PG81	PG82	PG83	PG84	PG85	PG86	PG87	PG88	PG89	PG9	PG90	PG91	PG92	PG93	PG94	PG95	PG96	PG97	PG98	PG99	Reference
PG173	14083	14890	14860	15070	14896	15254	14865	14905	14843	15097	14882	2010	15301	14910	14165	14973	14144	14066	14205	14660	15257	14064	15172	15338	15058	15140	14035	14902	15078	15004	14094	15183	14576	14929	13784	14180	15415	15418	15147	15087	14654	14103	14109	14655	15431	13809	14124	15255	15052	15201	14826	15053	14157	14889	14753	14959	14002	14520	14134	15089	14114	14812	14131	14846	14894	14905	14865	14229	14281	14973	14164	14385	15079	14150	14786	14883	14866	15091	14492	15081	15079	14914	0	14072	14325	14119	14810	15005	14674	14854	14599	14881	14900	14874	14878	14198	14824	14098	14960	14071	14834	14863	15099	14824	15372	15050	15432	15250	14166	14267	14150	13994	15040	14165	14813	14872	15412	2006	14094	14612	14987	14395	14817	15039	14893	13871	14824	14959	13859	14817	14829	14642	14195	15079	15082	15109	15126	14685	15093	14508	14844	14831	15088	15281	15042	14628	15138	14142	14145	14882	15260	14159	14358	14124	14220	14159	14638	14895	15413	15152	15071	14607	14300	14280	14200	15108	14771	1051	14110	2022	14152	14696	14105	14832	14330	14118	15424	14160	638	14856	14327	15816	14090	14192	14080	14853	14658	14844	15087	14352	14881	14904	14882	15083	15354	14077	14817	14412	14178	14888	14155	14233	1568	15119	14808	14875	14781	14088	14842	14115	14231	14079	14697	14840	2032	14638	15094	1069	14969	14683	15091	14998	14760	14102	14229	14992	14687	14853	13750	15096	14857	14673	1051	15067	14764	15066	14984	14873	14694	15054	15069	14918	15086	14615	14566	14213	14099	14709	15038	2025	15319	15121	14219	14122	2005	14102	15146	15404	14107	15096	14130	14233	15309	15063	14073	14857	14317	14688	15047	14565	14101	15293	14686	13860	15274	15065	2019	14658	13839	14637	14958	14794	15098	15442	15138	14816	14089	13915	14091	14697	15102	14193	15287	14652	15385	14943	15323	14107	15117	14112	15042	14815	14183	14835	14533	14704	13743	14171	14855	14115	15496	14140	15454	14038	14104	14973	14615	14156	14875	14206	14998	14172	15513	15063	14201	14632	15156	14314	14134	15000	15449	13703	14771	15517	14637	15152	14076	14460	14844	14872	14620	15687	14167	15445	15412	14832	14138	15081	15424	14864	14908
PG174	13902	14740	14947	15713	14831	14921	14798	14876	14958	15741	14857	14245	14848	13644	13811	14464	13789	136	14400	14850	14971	14095	14836	15172	15145	15769	13887	14868	15087	15663	14387	14825	13633	14811	14534	13798	15207	15103	15043	15739	15104	141	14409	15135	15095	14570	13968	15469	15095	14866	14941	15727	13822	15672	14273	15637	13992	14328	13114	15724	14402	15280	14406	14847	14859	15678	14806	13859	14265	14458	13837	14139	15715	13806	14882	14857	14753	15734	14387	15746	15100	14814	14072	0	14410	132	14939	14391	14724	14833	14351	15686	15005	14831	14823	14417	14951	14419	14441	14109	14960	14853	15022	14957	15511	15698	15081	14903	13853	14100	13814	13834	15078	13842	14948	14978	15074	14218	14394	15123	15039	15379	15252	15694	14859	13697	14958	14449	13710	14966	14963	15104	14405	15732	15717	14983	14920	15145	15741	14261	14975	15778	15746	14665	13761	15069	15776	14444	14443	14963	15092	13833	13926	13806	14008	13795	15113	14857	15088	15653	15735	14930	14618	15533	14413	15028	14681	14196	14414	14235	13803	15147	14405	14690	14576	14405	15095	14142	14297	14952	14210	15898	14382	13958	102	14957	15142	14975	15729	14207	14838	14882	14982	15732	15041	14409	15229	14150	13847	14860	14018	14439	14662	14915	14965	14821	14912	288	14953	14404	13968	14375	15114	14949	14249	15126	15743	14225	14978	15142	15740	14483	14473	14391	13980	14970	15111	14976	13878	15745	14261	15152	14245	15735	14391	15727	14431	14952	15133	15725	16056	14908	15723	14614	13510	14453	14428	13927	15700	14281	15011	15753	14412	13924	14241	14425	15037	15565	14432	15750	14428	14435	14997	15694	14407	14604	13911	15144	15699	13536	14397	14995	15163	13701	15168	15729	14195	14491	13702	14195	14932	14570	15740	15110	14723	15282	14405	3266	13877	15152	15745	14385	15118	15127	15088	14535	15016	14410	15024	14405	14813	14612	13837	14978	13537	14432	13835	13816	14952	14409	15515	14417	15119	13857	14396	14462	15115	13797	14816	14420	14810	14383	15383	13763	15279	15248	15667	14290	13806	14464	15087	14525	14409	15404	15099	14854	14423	13332	14912	14964	15083	15114	13807	15763	15124	14193	13809	15735	15069	14811	14876
PG175	14379	14857	15513	15920	14924	15424	14950	16636	15498	15953	16635	14409	15377	16400	14577	16535	14591	14435	15337	15096	15474	14539	15296	15773	15805	15952	14348	16647	15102	15818	15242	15374	14735	15125	15155	14583	15814	15579	15189	15936	14923	14474	15261	14912	15574	15204	14432	16199	15775	15277	15513	15897	14584	14847	15328	15842	14554	14724	14365	15920	15249	15915	15279	16595	16625	14844	14962	14588	14635	16525	14605	14415	15913	14575	14986	16629	14860	15935	16227	15926	15770	14978	14325	14410	0	14489	15491	14853	15200	16644	15323	14835	14842	14995	14977	15389	15507	15240	16479	14560	15535	16610	15172	15506	16241	15900	15574	15122	14754	14855	14577	14398	15757	14594	15511	15532	15547	14391	15247	14912	15718	15299	15882	15897	16639	15082	15517	16525	15081	15512	15515	14918	15309	15900	15910	15095	15286	14965	15966	14540	15532	15703	15923	15126	16489	14890	15956	15280	15303	15523	14677	14598	14476	14548	14592	14564	14946	16639	15553	15956	15923	16040	14590	15375	15388	15171	14967	14369	15267	14420	14565	14964	15258	15230	14563	15262	15559	14768	14391	15541	15027	16501	15255	14596	14470	15516	14930	15530	15915	15016	16626	16645	15545	15928	15536	15232	15894	14528	14625	16622	14734	15369	14798	15546	15501	14992	15475	14458	15531	15265	14594	15201	14967	15454	14415	14939	15946	14367	15284	14930	15944	16556	14927	15228	14569	15274	14932	15520	14667	15930	14955	14957	14377	15905	14415	15909	16516	15510	14985	15903	15814	15361	15939	15070	14657	15351	15265	15109	15898	14435	15512	15974	15355	14446	14401	15251	15201	15753	15257	15924	15276	15366	15480	15900	15227	14930	14510	14946	15889	14687	15253	15503	14994	15085	15540	15942	14336	14752	15073	14843	15259	14901	15936	15593	15418	15905	15254	14694	14391	14967	15940	15333	14699	14913	15543	15797	15507	15269	15175	15260	15418	14919	14599	15510	14683	14985	14614	14598	15516	15241	16091	15272	15577	14351	15242	16532	14917	14562	14977	15336	15121	15353	15984	16489	15182	15124	15192	15191	14568	16542	15602	15266	14424	15978	14906	15416	15225	14553	15486	15078	14904	16063	14577	16479	15581	14518	14569	15951	15535	14982	16648
PG176	13945	14764	14982	15756	14909	14983	14818	14951	14991	15783	14934	14291	14912	13666	13813	14526	13802	112	14452	14868	15036	14126	14903	15232	15233	15807	13921	14943	15111	15703	14392	14890	13723	14809	14516	13791	15279	15121	15074	15779	15186	136	14408	15208	15121	14557	14000	15479	15196	14933	14971	15768	13820	15715	14288	15684	14004	14381	13145	15764	14402	15325	14413	14882	14937	15723	14828	13879	14275	14521	13840	14168	15752	13802	14894	14936	14780	15776	14461	15785	15190	14839	14119	132	14489	0	14965	14420	14749	14909	14367	15736	15030	14855	14847	14470	14977	14419	14489	14137	14994	14920	15046	14990	15524	15739	15092	14943	13870	14116	13817	13864	15171	13834	14980	15014	15106	14255	14390	15196	15132	15415	15310	15729	14936	13746	14990	14513	13754	14997	14993	15177	14449	15771	15761	14999	14957	15230	15779	14307	14995	15812	15787	14711	13784	15150	15819	14441	14441	14994	15146	13819	13962	13802	14014	13790	15198	14938	15110	15693	15776	14928	14607	15572	14480	15054	14707	14238	14413	14281	13799	15228	14407	14704	14607	14401	15114	14157	14356	14983	14214	15915	14381	13989	162	14989	15216	15007	15769	14218	14914	14951	15014	15769	15106	14406	15280	14193	13843	14944	14027	14501	14706	15017	14996	14846	14944	292	14985	14404	13985	14362	15204	14980	14292	15207	15779	14275	14989	15222	15778	14533	14491	14389	14000	14975	15189	15008	13924	15782	14296	15231	14293	15775	14428	15766	14496	14985	15214	15764	16100	14913	15763	14647	13587	14510	14435	14015	15740	14321	15071	15792	14474	13958	14286	14419	15077	15626	14437	15792	14431	14488	15056	15732	14402	14633	13974	15218	15737	13611	14400	15058	15252	13749	15173	15771	14236	14512	13739	14239	14941	14596	15783	15133	14751	15325	14406	3284	13906	15230	15783	14444	15171	15201	15105	14590	15077	14415	15053	14400	14853	14637	13839	15006	13610	14438	13891	13821	14989	14406	15538	14421	15143	13886	14392	14525	15192	13793	14846	14477	14866	14438	15416	13778	15310	15297	15714	14297	13806	14529	15113	14522	14436	15429	15177	14893	14421	13325	14943	14991	15157	15171	13806	15816	15145	14234	13799	15771	15085	14837	14952
PG177	14594	14245	33	15919	15726	15631	14355	16191	46	15937	16191	14844	15488	15936	14718	16337	14710	14945	13876	15651	15594	14274	15732	15816	6479	16026	14568	16213	14438	15883	13862	15394	14966	15930	15799	14729	15783	15807	14879	15945	15694	14969	13879	15727	15789	15810	14565	16199	6454	15702	16	15940	14748	15425	15423	15718	14937	15377	14819	15934	13904	15846	13894	16182	16186	15437	14367	14895	15419	16317	14738	14974	15927	14712	14498	16173	14530	15936	15542	15938	6460	14241	14810	14939	15491	14965	0	15428	15562	16167	15436	15421	15289	14380	14379	13883	33	13856	16206	14252	39	16174	14845	45	16206	15916	15801	15363	14897	14809	14724	14605	6437	14741	43	43	15776	14784	13886	15690	6439	15633	15842	15896	16170	14823	36	16307	14791	38	53	15672	13868	15928	15927	14642	15580	15757	15947	15080	43	16188	15956	15485	16164	15656	15994	13911	13930	42	16425	14726	14718	14707	14686	14722	15696	16192	15792	15884	15948	15313	15383	15721	13907	14838	15403	14415	13883	14845	14715	15731	13880	15538	15418	13881	15769	14825	14874	47	15447	16772	13868	15566	14966	42	15697	46	15931	15475	16171	16204	50	15928	15679	13861	15851	14995	14756	16177	15243	13904	14846	7023	50	14373	34	14952	38	13904	14713	13861	15713	45	14853	15697	15941	14385	15498	15710	15948	16287	15107	13878	14679	15507	15700	42	14382	15931	15790	15717	14445	15929	15272	15933	16324	39	15739	15913	16248	15282	16048	14683	14877	13871	13870	15193	15897	14831	15676	15969	13885	14642	14822	13886	14883	16183	13882	15975	13893	13901	15640	15901	13881	14741	14659	15720	15911	14916	13882	15633	15747	14813	16195	15940	14791	15646	14796	15063	15464	14664	15932	15806	15492	15853	13860	14962	14623	15721	15939	13871	16427	15680	15770	15560	15658	13900	14852	13898	16043	14667	14759	38	14916	15339	14332	14732	31	13882	15522	13894	15807	14577	13883	16324	15674	14713	14370	13867	15368	13884	15700	16156	15628	15429	15726	15365	14712	16358	15807	15596	15256	15706	15682	15354	13876	14911	46	14557	15670	15836	14708	16742	15798	15649	14703	15953	15791	14377	16209
PG178	14582	14784	15451	16021	15517	15805	14753	15887	15431	16039	15874	14877	15695	15505	14423	15529	14411	14413	14851	14339	15848	13930	14758	15953	15732	16043	14542	15894	14757	15976	14873	15357	10555	14773	14405	14462	15925	15519	15018	16056	15370	14429	14864	15386	15495	14462	14629	15356	15696	14821	15416	16004	14443	14943	11502	16123	11155	14797	14818	16042	14893	14771	14891	15878	15877	14937	14773	10983	14982	15514	14466	14984	16018	14412	14837	15870	14657	16042	15412	16051	15714	14849	15005	14391	14853	14420	15428	0	14533	15851	10727	14900	15518	14780	14775	14898	15470	14875	15514	13924	15440	15863	15000	15473	15437	16013	15495	15392	11004	11156	14439	14501	15690	14495	15431	15473	15471	14867	14873	15355	15713	15090	14759	16009	15890	14993	15446	15507	14959	15445	15452	15365	14844	16026	16025	14960	13469	15424	16064	15006	15458	14946	16044	2808	15740	15331	16061	14916	14917	15456	15471	14444	14668	14444	11183	14444	15381	15874	15488	16018	16059	15278	15226	14999	14892	14992	14597	15034	14894	14892	14447	15403	14876	15201	15150	14873	15482	11288	15084	15483	15132	15629	14878	13800	14369	15473	15362	15449	16034	15149	15864	15902	15478	16052	15919	14866	14782	14969	14463	15883	14878	14888	15461	15653	15442	14780	15415	14423	15448	14894	11203	14835	15407	15413	14894	15398	16053	14997	15282	15373	16058	15527	14814	14848	11191	15283	15371	15461	14761	16042	2078	15384	15026	16034	14127	16039	15503	15467	15402	16028	15673	15264	16045	14467	10544	14852	14880	10568	16014	14935	15912	16074	14862	14634	14895	14891	15030	14925	14884	16048	14899	14883	15894	16008	14865	14695	14656	15404	16014	10559	14889	15873	15428	14978	15754	16041	14850	14877	14971	14450	15252	14672	16037	15510	14443	14776	14881	14268	14595	15421	16047	14835	15480	15380	15466	15119	15890	14903	14994	14885	14989	14706	14450	15471	10562	14449	14709	14423	15452	14880	15544	14885	15517	14537	14867	15520	15373	14429	14791	14849	15321	14874	16232	15723	14494	14664	15124	15628	14442	15529	15516	14899	14130	16192	15360	15640	14870	10210	15431	14886	15356	16107	14446	15696	15499	5167	14429	16056	15496	14789	15896
PG179	14324	14756	15570	15676	15640	15427	14789	15389	15568	15680	15387	13868	15376	16221	14943	16094	14969	14744	14301	2444	15495	13925	14988	15698	15942	15703	14290	15398	14968	15651	14183	15708	14577	14731	14539	14974	15947	8899	14967	15689	15162	14751	14190	15182	8885	14558	14323	15903	15907	14990	15567	15663	14980	14967	14126	15601	14693	14679	14383	15689	14206	11508	14194	15306	15389	14978	14798	14557	15053	16085	14967	14992	15673	14925	15098	15383	14690	15692	15715	15675	15941	14748	14674	14724	15200	14749	15562	14533	0	15406	15200	14966	15401	14806	14809	14259	15584	14170	16074	13909	15566	15372	14936	15570	15930	15647	8885	15332	14766	14335	14943	14171	15898	14951	15537	15593	8882	13838	14203	15175	15892	12407	11523	15683	15400	14999	15570	16080	14971	15560	15571	15168	14283	15670	15676	15090	15016	15231	15701	15094	15579	12429	15694	14712	16143	15114	15725	14196	14221	15582	15963	14947	14536	14943	14677	14939	15186	15389	8859	15489	15691	15495	14795	12349	14295	14957	8289	14598	14191	13878	14950	15198	14202	14572	14788	14196	8866	14652	14707	15589	15047	16335	14188	15062	14755	15594	15206	15585	15693	15079	15380	15408	15592	15670	15564	14182	11534	15015	14977	15385	14871	14338	15075	15935	15589	14800	15554	14729	15565	14199	14687	14146	15214	15565	13874	15189	15702	14606	15377	15192	15707	16123	7919	14190	14662	15359	15166	15585	14685	15700	14673	15199	14644	15697	15505	15691	16082	15579	15232	15699	13020	15355	15705	14383	14466	14295	14176	15025	15676	13884	15551	15706	14301	14330	13859	14181	14960	15892	14179	15719	14208	14333	15533	15676	14178	15180	14535	15206	15684	14485	14185	15534	15251	14996	15501	15696	13838	12832	14970	14773	15325	15070	15678	8895	9377	11515	14191	14854	14324	15231	15701	14297	16003	15182	8886	15429	15543	14209	14936	14190	12535	15084	14986	15592	14495	14394	14637	14946	15568	14210	15910	14207	8899	14281	14198	16086	15175	14925	14803	14292	15583	14242	15984	16136	11747	11418	15272	14925	14930	16101	8902	15659	15493	15996	15156	15449	14180	14167	15554	14991	15164	15920	14958	16417	8905	14818	14948	15696	8897	14805	15395
PG18	15230	15717	16248	16587	16260	16485	15874	94	16268	16653	121	14557	16291	5429	15226	5386	15282	14909	15065	14898	16412	15599	15045	16630	16174	16669	15175	128	16071	16524	15010	15664	15055	15686	15670	15265	16670	15355	16177	16618	16104	14941	15055	16074	15376	15701	15328	17090	16149	14928	16189	16580	15258	16654	15723	16750	15089	15784	15012	16589	15040	15721	15046	121	79	16654	15894	14965	15604	5383	15277	15220	16582	15202	15297	131	15898	16633	4798	16613	16178	15912	14854	14833	16644	14909	16167	15851	15406	0	15599	16672	15746	15888	15947	15138	16190	15019	5360	15592	16234	113	16117	16199	17111	16565	15355	16565	14978	15260	15221	15043	16167	15275	16200	16229	15342	14450	15015	16064	16098	15680	15696	16562	58	15166	16198	5375	15119	16182	16225	16064	15071	16610	16604	15708	16267	16114	16624	15407	16234	16092	16602	15789	6259	16045	16662	15096	15088	16250	16519	15211	15416	15196	14996	15223	16080	92	15343	16535	16593	15535	15742	15511	15177	16150	14826	14897	15050	14510	15212	16130	15021	16172	15723	15021	15380	15320	14964	16216	15092	17442	15027	14393	14875	16236	16112	16248	16554	15153	78	139	16257	16595	16509	15047	15725	15301	15289	99	14826	15147	15297	16231	16211	15888	16174	14869	16211	15023	14988	15000	16129	16237	14526	16097	16609	14906	15579	16089	16626	5431	14452	15012	14973	15555	16081	16259	14929	16583	15494	16083	14953	16559	14954	16561	5371	16232	16098	16560	16356	15588	16584	16290	14669	15115	15022	15426	16535	14538	16480	16671	15094	15276	14511	15066	16181	15965	15044	16609	15070	15121	16436	16583	15021	15663	15453	16090	16543	14727	15029	16455	16154	15134	16706	16625	14398	15405	15138	14176	15529	15614	16610	15394	15208	15718	15030	15005	15239	16097	16593	15083	16569	16098	15311	14644	16475	15048	16145	15044	15424	15636	15234	16239	14676	14973	14910	15238	16227	15046	17246	15065	15426	15181	15021	5374	16038	15233	15890	15095	15642	15122	16513	6249	15537	15272	17077	14941	15227	5402	15365	16029	14994	16564	16040	16354	15030	14910	16220	15584	16010	15566	15235	17487	15374	15511	15233	16630	15341	15893	105
PG180	14315	14268	15441	16241	15733	15609	14451	15607	15426	16271	15599	14586	15493	15069	14326	15258	14330	14360	14803	15072	15641	14024	15103	15912	15319	16319	14266	15614	14648	16243	14643	15747	6678	14929	15290	14358	15798	16002	15034	16266	15584	14380	14638	15578	16010	15333	14371	15835	15270	15125	15424	16252	14341	15351	9974	16194	9384	14979	15022	16264	14660	15235	14639	15551	15606	15349	14458	9287	15186	15254	14356	14875	16248	14327	14636	15596	14586	16265	14708	16264	15299	14470	14599	14351	15323	14367	15436	10727	15200	15599	0	15346	15406	14464	14464	14694	15461	14640	15225	14024	15448	15581	15012	15451	15995	16236	15992	15559	9188	9681	14335	14368	15257	14365	15412	15462	15974	14592	14628	15568	15249	14866	15239	16233	15608	14767	15445	15246	14751	15418	15436	15566	14792	16251	16248	14573	13112	15634	16281	14927	15451	15290	16270	11183	15183	15510	16309	14664	14678	15466	15626	14341	14880	14322	9785	14318	15565	15604	15970	16270	16264	15520	15297	14869	14726	15030	14886	14649	14654	14616	14327	15625	14650	15453	15252	14641	15988	9585	14757	15455	14732	16347	14608	14202	14364	15457	15540	15456	16234	14727	15585	15617	15476	16269	15717	14636	15229	14896	14366	15602	14229	14822	15088	15154	15416	14460	15407	14377	15432	14627	9792	14613	15607	15404	14615	15578	16269	14623	15358	15588	16288	15278	15309	14634	9786	15358	15564	15446	14689	16268	11262	15600	14669	16236	13530	16236	15231	15458	15638	16236	15359	15320	16294	14334	7397	14796	14618	6849	16218	14637	15673	16299	14798	14375	14605	14647	15044	15278	14628	16288	14663	14805	15690	16243	14626	14824	14677	15605	16221	7419	14637	15659	15648	14751	15798	16250	14572	15051	14750	14824	15319	14752	16278	16019	15374	15238	14639	14219	14331	15617	16267	14792	15654	15583	15978	15213	15676	14650	15042	14632	14948	14758	14348	15464	7392	14590	14648	14333	15443	14637	15874	14650	16033	14276	14633	15249	15563	14323	14460	14806	15679	14679	16000	15208	14820	14863	15666	14556	14316	15263	16025	15330	13536	15964	15559	15533	14620	6121	15429	14448	15549	16031	14344	16317	15993	11134	14321	16273	15987	14459	15625
PG181	14813	14649	15455	15755	15599	15766	14589	16707	15409	15786	16686	14745	15676	16423	14931	16415	14922	15727	15383	14663	15742	14582	15897	15904	15766	15791	14786	16709	14599	15776	15326	15396	14866	15687	15157	14928	16158	15594	15064	15782	15532	15750	15317	15551	15585	15183	14887	15685	15716	15802	15419	15757	14957	90	15013	15960	14567	15140	14801	15780	15354	15671	15335	16646	16693	89	14617	14473	15358	16416	14932	15207	15778	14898	14611	16690	14795	15772	16211	15773	15732	14631	14881	15686	14835	15736	15421	14900	14966	16672	15346	0	15439	14635	14622	15417	15441	15333	16412	14580	15458	16679	15030	15451	15717	15753	15590	15548	14510	14725	14920	14808	15689	14930	15425	15451	15564	14717	15342	15527	15695	15578	15685	15755	16695	15508	15435	16413	15487	15424	15426	15523	15359	15749	15762	14774	15396	15576	15777	15334	15450	15771	15800	15218	16500	15493	15803	15332	15366	15446	15537	14946	14994	14883	14483	14917	15544	16709	15568	15769	15787	15592	15466	15329	15428	15034	14604	14793	15333	14744	14925	15557	15336	15449	15387	15329	15560	14699	14978	15466	15792	15856	15312	15142	15745	15442	15564	15456	15790	15808	16691	16721	15471	15779	15822	15296	15698	15297	14956	16697	15790	15408	15238	15811	15445	14631	15413	15770	15451	15356	14507	15309	15577	15459	14760	15549	15784	14788	15342	15531	15794	16461	14884	15315	14461	15358	15541	15454	15443	15787	14876	15542	14807	15782	14731	15778	16407	15449	15567	15768	16130	15330	15769	14791	14860	15392	15328	15170	15765	14771	15792	15803	15397	14866	14735	15319	15064	16028	15322	15797	15325	15426	15798	15755	15335	14619	15099	15552	15774	14897	15339	15802	15614	15483	15536	15794	14677	15630	15491	14430	15326	14516	15772	15607	15340	15701	15324	15232	14824	15587	15794	15376	15572	15523	15544	15807	15811	15337	15025	15358	15577	14542	14959	15435	14881	15379	15402	14920	15443	15329	15173	15343	15603	14780	15314	16409	15520	14920	14623	15375	15464	15386	16453	16473	15181	15140	1486	15886	14894	16443	15605	15425	14711	16445	15520	15934	15306	14318	15431	14748	15514	15791	14938	16026	15577	14766	14917	15784	15581	14624	16709
PG182	14923	15376	15325	15032	14017	15000	15452	15797	15314	15066	15760	14948	14868	15722	13560	15508	13541	15009	13836	15161	14931	14743	15332	14970	15447	15056	14897	15788	15496	15116	13902	14812	15378	15594	15074	13564	15029	16251	15642	15055	13199	15017	13906	13218	16222	15123	14941	15307	15444	15334	15308	15023	13567	15440	15503	15042	14527	15015	15572	15053	13922	15296	13927	15767	15767	15426	15467	14675	14087	15495	13581	15261	15054	13536	15306	15773	15353	15055	15479	15073	15458	15427	14900	15005	14842	15030	15289	15518	15401	15746	15406	15439	0	15457	15470	13914	15322	13921	15484	14764	15315	15752	15612	15304	15281	15022	16209	8306	14617	15098	13546	14872	15435	13561	15308	15335	16213	14900	13923	13166	15364	14841	15298	15037	15775	14159	15299	15491	14132	15314	15294	13173	13843	15043	15050	15366	15250	13216	15067	15381	15332	15369	15074	15781	15653	13152	15053	13946	13949	15334	14809	13570	15196	13518	14815	13539	13216	15781	16213	15102	15031	14769	14531	15052	13941	15610	15143	14878	13930	14943	13538	13191	13902	15315	14469	13906	16199	15024	14971	15345	15077	15766	13918	14583	14983	15325	13202	15315	15030	15110	15771	15794	15359	15052	15007	13911	15288	15266	13587	15783	14912	13871	15303	15556	15315	15455	15291	14987	15336	13920	14833	13885	13212	15336	14951	13182	15056	14866	15111	13206	15071	15529	15550	13919	14847	15126	13208	15343	14424	15054	15399	13223	14884	15039	14809	15037	15495	15318	13220	15022	15489	14947	15121	15454	15126	13854	13921	15444	15019	14958	14979	15073	13851	14969	14928	13924	15643	15732	13905	15035	13932	13871	14960	15006	13904	15122	15028	13217	15018	15167	13928	14972	13256	14143	15404	15078	14917	14998	14137	14935	15102	15146	15055	16252	15543	15309	13902	15041	14936	13236	15066	13833	14835	13215	16179	14850	14948	13931	15624	13921	15549	15149	13565	15338	15120	15603	14394	13558	15323	13935	15577	13929	16263	14890	13914	15507	13173	13564	15454	13831	14699	13885	16176	15660	14855	14868	15886	16148	13532	15526	16245	14086	14789	16165	13170	15859	13915	14942	15329	15303	13159	15038	13556	15589	16216	15144	13543	15044	16203	15439	15798
