snp-dists 0.7.0	CFKY01000001	CFNU01000001	CFVJ01000001	CGAL01000001	CGBO01000001	CGGD01000001	CGGJ01000001	CHCV01000001	CHDA01000001	CHJT01000001	CHJU01000001	CHYT01000001	CIDJ01000001	CIEZ01000001	CIFD01000001	CIJB01000001	CIJN01000001	CLIP01000001	CLKE01000001	CLMO01000001	CLMW01000001	CLND01000001	CLNJ01000001	CLNS01000001	CLNV01000001	CLOB01000001	CLOP01000001	CLQG01000001	CLQL01000001	CLRB01000001	CLSJ01000001	CLSM01000001	CLSR01000001	CLTR01000001	CLWS01000001	CLWZ01000001	CLXB01000001	CLXZ01000001	CLYE01000001	CLZG01000001	CLZW01000001	CMBG01000001	CMDD01000001	CMDL01000001	CMEW01000001	CMFA01000001	CNUJ02000001	CNUS02000001	CNVV02000001	CNVW02000001	CNVX02000001	CNVY02000001	CNXN02000001	CNXO02000001	CNXP02000001	CNXQ02000001	CNXR02000001	CNXS02000001	CNXT02000001	CNXU02000001	CNXV02000001	CNXW02000001	CNXX02000001	CNXY02000001	CNXZ02000001	CNYA02000001	CNYB02000001	CNYC02000001	CNYD02000001	COFK02000001	COFL02000001	COFM02000001	COFN02000001	COFO02000001	COFP02000001	COFQ02000001	CP035234	CP035235	CP035236	CP035237	CP035238	CP035239	CP035241	CP035242	CP035243	CP035244	CP035245	CP035246	CP035247	CP035248	CP035249	CP035250	CP035251	CP035252	CP035253	CP035254	CP035255	CP035256	CP035257	CP035258	CP035259	CP035260	CP035261	CP035262	CP035263	CP035264	CP035265	CP038251	CP038252	CP038253	CPLB01000001	CPNC01000001	CPNH01000001	CPNZ01000001	CPOL01000001	CPPA01000001	CPPE01000001	CPPK01000001	CPPS01000001	CPPY01000001	CPRA01000001	CPRF01000001	CPRJ01000001	CPRK01000001	CPRQ01000001	CPRX01000001	CPSC01000001	CPTA01000001	CPTM01000001	CPTT01000001	CPUH01000001	CPUO01000001	FITU01000001	FITV01000001	FITW01000001	FITZ01000001	FIUA01000001	FIUB01000001	FIUC01000001	FIUG01000001	FIUH01000001	FIUJ01000001	FIUK01000001	FIUL01000001	FIUN01000001	FIUQ01000001	FIUX01000001	FIVA01000001	FIVF01000001	FIVI01000001	FIVK01000001	FIVN01000001	FIWG01000001	FYON01000036	FYOS01000037	FYOV01000058	FYOX01000034	FYPD01000047	FYPF01000045	FYPI01000069	FYPJ01000054	FYPM01000037	FYPN01000071	FYPO01000064	FYPP01000050	FYPS01000035	FYPT01000038	FYPV01000110	FYPW01000051	FYPX01000039	FYPY01000040	FYPZ01000032	FYQC01000020	FYQF01000074	FYQH01000054	FYQI01000029	FYQP01000041	FYQX01000050	FYRC01000036	FYRD01000056	FYRG01000010	FYRQ01000047	FYRT01000027	NC_003028	NC_003098	NC_008533	NC_010380	NC_010582	NC_011072	NC_011900	NC_012466	NC_012467	NC_012468	NC_012469	NC_014251	NC_014494	NC_014498	NC_017591	NC_017592	NC_017593	NC_017769	NC_018594	NC_018630	NZ_CP018838	NZ_CP026670	NZ_CP027540	Reference	TVO_1901942	TVO_1901949
CMEW01000001	14270	13382	14363	14694	14908	15170	14725	12902	14102	15117	14099	15074	15888	14437	14046	14888	15172	14947	13759	18230	14898	15265	15197	17235	15176	16214	14968	14588	14538	16410	15237	16446	15008	14122	13765	14580	17162	13727	14167	13534	1842	15589	15110	15606	0	19771	15021	15105	13949	14011	14455	14965	15504	14182	15005	14580	14425	16415	14437	13889	15695	14128	14923	13818	14894	14499	14358	14371	14380	14979	15002	14911	14773	13923	15433	14795	14866	14829	15648	15787	14782	15656	14230	14942	15137	14709	14020	15317	15347	15735	15170	15615	14006	14091	14563	14568	14832	14840	14843	13662	13684	14544	15363	14867	14886	14187	14274	14579	15349	14749	15302	14256	15446	14243	15114	14903	14797	13695	16270	13462	14899	14298	16781	14729	14284	15030	14910	14519	14974	14183	13667	15419	15131	15157	14937	15013	15155	15231	15228	15157	15122	15120	15239	15125	15212	15152	15087	15263	15134	15097	15122	14930	14469	14523	14721	14058	14326	14988	14982	14741	14023	14731	14982	15192	14163	14420	14305	13902	15501	14961	14058	15470	14822	15170	14519	14923	14952	14280	14011	14127	14937	15090	14729	15669	14811	14761	18528	16368	14738	16244	15664	15161	14622	15776	15668	14410	14962	15356	13990	15535	16661	16074	15045	19209	16244	14751	15669	13970	14247
CMFA01000001	19912	19432	20012	19525	19759	19633	20270	18989	19736	19542	19880	20145	20156	20027	19484	20593	19686	19417	19445	18871	19803	19749	19418	21197	19566	21074	19610	20788	20375	19934	20911	19957	21014	20670	19446	20293	21234	20404	20378	19837	19940	21199	19465	21243	19771	0	20019	20242	19342	19423	20896	20236	20543	19634	19966	19837	20875	21847	20060	19418	21094	19407	20576	19984	20197	20586	19645	19730	20792	20274	19484	19827	19927	19436	20656	20058	20070	20044	19649	21315	19799	20970	19498	20289	20353	19931	19454	19605	19635	19836	20166	20958	19429	19460	20139	20149	20113	20012	19970	19296	19275	19462	20012	20219	19782	19428	19415	19830	20390	19965	20163	19904	21139	19904	20180	19537	19843	19181	20858	19391	19951	20369	21580	19904	19990	20054	20076	19071	20159	19703	19194	20854	20057	20087	19899	19922	20077	20165	20168	20066	20043	20038	20175	20033	20053	20113	20052	20217	20064	20425	20044	19945	19728	19775	20316	20323	19680	19924	19921	20390	19514	19938	20197	19497	19365	19783	19941	19392	19598	20386	19359	20516	19586	19482	19831	19613	19882	19707	19707	19493	19694	19839	20340	20984	19811	19778	23930	21503	19771	21101	20299	20212	19657	21261	21026	19698	20330	20120	19414	20342	22081	20900	19865	23839	21101	19787	20987	19418	19510
CNUJ02000001	15033	14432	14888	15321	15393	15617	15783	14543	14832	15600	14887	15892	16566	15686	14750	16034	15514	15755	14716	19529	16147	16029	15863	17434	15934	17132	16112	15991	15410	16503	10348	16516	9045	15776	14735	15096	18002	14968	15575	15376	15149	10655	15798	10656	15021	20019	0	16093	14996	15457	15807	15369	15338	14858	15631	15345	15779	17148	14846	15144	16410	15164	11326	14760	15405	15711	15355	15439	15711	15450	15057	15858	15694	15203	15125	15376	15462	15413	15624	16481	14398	15454	15062	14761	14806	15521	15523	15544	15556	15974	15659	15424	14986	15082	14979	14961	4350	4226	15670	14321	14298	15397	15053	15532	15456	14771	14674	15386	14826	15657	15915	14846	7351	14974	15924	15584	15441	14695	16775	14303	15216	15060	17075	15761	16018	15424	15542	15071	15425	15274	14235	15844	16026	16012	16024	15936	16026	16147	16142	16032	15983	15987	16152	15966	16049	16048	16005	16168	15975	16185	16016	16028	15415	15309	15145	15564	15318	15439	15404	15188	15460	4125	15712	15336	15143	14932	15648	14316	15480	16098	14969	15435	15043	15284	15491	15180	15385	15253	14605	15088	15230	15345	15187	15467	14402	14372	14910	16975	15561	17279	16327	16071	15787	16482	16372	15468	15435	15921	15443	16206	17486	16532	16013	20370	17279	14353	15467	15450	15066
CNUS02000001	15082	14614	15029	10680	14934	16532	15096	14465	14984	16496	15078	15305	16067	15270	14830	15227	15236	14880	15237	19326	12501	16265	15810	17777	16159	12942	12448	15950	15939	16963	16591	16986	16618	16076	15248	15375	17960	15160	15114	15507	15130	16804	15632	16856	15105	20242	16093	0	3882	15861	16289	15281	15429	3743	15006	15408	16249	16541	15416	3544	15609	1484	15957	15786	15332	16048	15452	15513	16200	15400	15061	15792	15081	3582	14377	15269	15340	15304	15433	16537	15442	16082	15330	15308	15691	15492	15884	16559	16572	16027	16150	15993	3399	4261	15561	15550	15929	15946	15267	14493	14480	15341	15842	16123	16043	14814	14833	15423	15338	15088	15701	14950	16747	14936	15329	10388	14697	14631	12958	14365	15180	15339	16841	15603	16082	15295	16148	9145	14546	15508	14828	15705	15545	15556	15288	15572	15538	15696	15690	15559	15528	15529	15712	15527	15629	15578	15496	15725	15517	15926	15547	15298	15568	15421	15360	15560	15038	15726	15677	15504	15926	15992	15827	15361	1458	15147	14493	14570	16526	15490	3063	15441	15046	15332	15195	15531	15661	3430	15235	3658	15573	15340	15370	16096	15442	15411	19818	16986	14886	12933	12774	15461	15345	16517	15573	15563	15724	16063	15869	16742	16954	17177	15617	18931	12933	15405	16099	15866	15354
CNVV02000001	13504	13730	13495	9816	13576	15319	13927	13770	13378	15241	13639	13927	15135	13837	13577	14245	13932	13879	13968	18576	11630	14942	14782	16756	14849	12203	11580	14858	14844	15940	15704	15968	15526	14893	13988	14453	17129	14170	14248	14178	14046	15984	14343	16038	13949	19342	14996	3882	0	14716	15233	13813	13951	2880	14103	14170	15203	15566	14120	621	14649	2934	14792	14514	13774	14741	14138	14187	15151	13854	13692	14395	13865	643	13734	14026	14094	14059	14433	15549	14174	15023	13875	14086	14495	14280	14752	15354	15365	14712	15177	14993	2607	3405	14223	14223	14718	14766	14023	13585	13584	14037	14681	15250	15025	13483	13508	14181	14158	13849	14275	13377	15876	13327	13978	9330	13786	13805	11721	13366	13842	13814	16059	14175	14995	13889	15217	8217	13430	14372	13995	14650	14498	14500	14234	14557	14489	14596	14586	14509	14475	14478	14600	14472	14569	14527	14447	14624	14469	14884	14502	14259	14137	14191	14153	14606	13792	14128	14088	14253	14787	14834	14589	14021	2892	13961	13036	13718	15335	14185	2361	13921	13727	14000	13908	14185	14088	2865	13959	2806	14226	14002	14146	15034	14222	14157	18807	16154	13955	12094	11820	14372	14273	15529	14576	14243	14691	15055	14715	15726	16088	16137	14480	18077	12094	14144	15037	14723	13907
CNVW02000001	15015	14404	14308	15143	15032	14393	15141	14012	14742	14330	14862	14014	15792	15090	14301	15456	14339	15023	14599	18777	15465	15528	15413	17023	15543	16594	15339	15354	15300	16239	16154	16239	16033	14991	14592	14677	17607	15039	15407	14767	14146	16515	15214	16533	14011	19423	15457	15861	14716	0	14930	15689	15397	15123	15140	14496	14933	16612	14326	14876	15761	14915	15582	14808	15609	15742	14199	14289	14837	15671	15149	15094	15200	14926	15793	14605	14706	14680	15626	16028	15297	16091	13905	14710	14823	14736	83	14417	14417	16149	15704	16008	14772	14857	14472	14434	15550	15352	15146	14217	14235	14211	15212	15577	15469	14578	14526	14476	15504	15140	14688	14265	16299	14893	14092	15257	15486	13969	16709	14591	15629	15303	16859	14121	12596	14095	15720	14836	15504	14651	14047	15622	15107	15105	15043	15097	15104	15225	15237	15114	15080	15110	15257	15089	15159	15120	15089	15245	15111	15086	15113	15078	14969	14448	15063	14594	14343	15213	15187	15199	297	15379	14888	15238	14890	14964	15222	14404	14345	14004	14739	15323	15083	15213	14531	14793	15168	15198	14361	14797	14841	15331	15073	16105	15312	15284	19103	16937	15013	16757	15871	15095	15364	16015	15715	14316	15275	15775	103	16112	16987	15936	14856	19842	16757	15266	16105	95	13923
CNVX02000001	15521	14293	15130	15693	15768	15760	14094	13831	15216	15681	15396	15035	16710	15980	14865	14407	15178	15753	15354	19124	15863	15901	16051	18017	15865	17281	16043	15520	15810	17572	16123	17592	16368	15621	15337	15023	18021	15214	15264	14853	14673	16451	15730	16492	14455	20896	15807	16289	15233	14930	0	15578	15813	15576	15815	14506	73	17510	15268	15309	16923	15361	15773	15531	15485	15977	15647	15716	73	15563	15739	15556	16096	15373	16296	14602	14591	14578	16295	17058	14514	16526	15640	15540	15632	14604	14951	15918	15917	15983	16032	16521	15260	15367	15380	15398	15666	15669	16166	14534	14556	15496	15911	15988	15921	14931	15016	14495	16163	16103	15458	15148	16380	15233	15071	15793	15481	13931	16704	14769	16208	15793	17359	15153	15426	14677	15910	15231	14065	12415	14189	15040	16575	16586	16426	16629	16584	16675	16676	16587	16551	16545	16691	16526	16510	16603	16552	16696	16563	16557	16613	16437	15383	14504	15760	14936	15698	16344	16332	15956	15017	15717	14918	15412	15339	15444	15866	14672	15851	14957	15356	15705	15869	15384	15920	15714	16314	15832	15522	15319	15765	16072	15746	16537	14529	14496	19141	17280	15681	17301	16148	16603	16010	17035	16875	15724	16438	15950	14906	16540	17689	16704	16078	20443	17301	14493	16538	14888	15648
CNVY02000001	14131	14793	13975	14154	14527	15428	15051	15114	13518	15335	14169	14917	15650	14934	14141	15437	15052	15119	14560	19090	14462	15890	15278	17401	15822	15905	14579	15575	15947	16690	16276	16705	15850	14924	14562	15335	17836	15216	15434	13748	15105	16597	15131	16644	14965	20236	15369	15281	13813	15689	15578	0	14619	13972	15133	14405	15558	17644	9840	13897	16800	14316	15969	15119	331	16196	14938	15012	15511	333	15146	14714	15050	13930	15381	14126	14179	14142	14995	16926	14047	14989	15127	14335	14579	14524	15707	15627	15646	15694	15349	14960	13977	14002	9905	9872	15524	15394	15130	14573	14559	14738	15451	14632	14467	14280	14197	14428	15002	14972	14838	13899	16392	13792	14988	14166	14830	14833	15908	14558	14509	14373	16598	14780	15808	14617	14374	14020	15140	15049	14948	15139	15855	15876	15556	15871	15873	15958	15960	15887	15846	15849	15966	15835	15938	15896	15850	15980	15858	16007	15885	15574	14555	14383	14136	14761	14887	13740	13721	14246	15721	15550	14872	14258	14374	15039	14225	14621	15551	14945	13903	14580	15150	14234	15023	14931	13705	14196	15221	14102	14987	15396	14133	15003	14080	14025	18636	15939	14903	15978	14898	15833	14892	16893	16742	14958	15771	15358	15678	15211	17652	16384	15839	19499	15978	14027	15006	15654	15155
CNXN02000001	13417	13711	13898	14166	15197	15797	14181	14968	13739	15692	13621	15153	15231	14676	13731	14237	15184	14726	14278	19239	15322	15447	15089	17512	15476	15176	15344	14941	15339	16674	16021	16732	15682	15178	14252	14911	17754	15525	15719	14518	15608	16333	14560	16363	15504	20543	15338	15429	13951	15397	15813	14619	0	14294	15397	13932	15796	17077	14263	14198	16154	14518	15772	14840	14703	15991	14697	14766	15753	14741	14837	14150	14908	14253	14298	14007	14053	13984	14920	16403	13670	14379	14603	8597	9327	13938	15414	15927	15953	15459	15006	14364	14212	14326	14344	14306	15445	15345	14923	13692	13697	14132	15048	14542	14199	14320	14261	13944	14138	14940	15175	13758	16023	13505	15237	14006	14705	14482	15228	13701	14039	13634	15589	14960	15755	14589	14306	13848	14092	15042	14352	14329	15991	16008	15905	16028	15994	16098	16090	16003	15983	15966	16108	15947	16150	16019	15918	16118	15990	15952	15993	15932	13347	13956	10237	14611	14615	14252	14211	10463	15469	15299	14427	14820	14533	14327	14818	13853	15475	15236	14201	1641	14933	14790	14732	15367	14188	14581	14688	14184	15426	15147	10265	14397	13684	13645	18974	16020	15010	15173	14794	16031	15256	16405	16086	14704	15839	15071	15361	14956	17253	16894	15412	19380	15173	13644	14398	15371	14604
CNXO02000001	13934	14109	13990	9448	14148	15640	14094	14116	13793	15581	13953	14625	15495	14383	13726	14180	14604	14337	14176	18793	11735	15273	15108	17158	15179	11992	11834	15161	15274	16390	15827	16407	15585	15234	14183	14568	17261	14462	14553	14610	14198	16114	14737	16175	14182	19634	14858	3743	2880	15123	15576	13972	14294	0	14570	14464	15587	15992	14142	2469	15002	2797	15025	14855	13925	15145	14411	14410	15543	13982	13858	14906	14206	2497	13866	14396	14474	14424	14790	15860	14481	15195	14315	14161	14556	14582	15149	15686	15691	15165	15027	15122	2342	3150	14234	14223	14622	14658	14461	14175	14167	14413	14981	15182	15038	13656	13592	14474	14557	14277	14732	13971	15796	13759	14685	9097	13812	14157	11817	13871	14005	14244	15775	14877	15206	14440	15142	7990	13384	14461	14304	14608	14821	14840	14636	14840	14822	14915	14901	14837	14811	14810	14914	14810	14898	14858	14778	14926	14802	15221	14824	14659	14464	14488	14133	14622	13983	14413	14384	14237	15191	14717	14888	14570	2736	14038	13741	14243	15673	14840	2085	14218	13854	14547	14092	14674	14371	2426	14527	2517	14730	14094	14130	15207	14531	14463	18927	16075	14358	11886	11567	14694	14835	15842	14944	14458	15019	14975	15103	15744	16390	16252	14707	18151	11886	14457	15211	15118	14337
CNXP02000001	14722	14992	14571	14954	14857	15756	15323	14748	14577	15623	14637	14462	15663	15443	14618	15511	14799	5396	14928	18618	14915	15284	15129	16953	15204	16074	14927	15242	14464	15992	16371	16006	15812	15570	14920	14634	17907	15364	15286	14598	15104	16675	15345	16700	15005	19966	15631	15006	14103	15140	15815	15133	15397	14570	0	14660	15802	16586	14648	14267	15778	14192	15096	14551	15081	15759	12558	12656	15755	15139	14862	14972	15493	14327	15526	14738	14800	14762	15297	15708	14782	15492	12068	14643	14850	14724	15131	15772	15776	15241	15584	15471	14080	14174	14754	14759	15546	15615	15340	14760	14740	12816	14295	15670	15509	14593	14616	14669	15352	15340	15159	14502	16259	14639	14507	14949	15055	15197	16174	14793	15246	14887	16890	14511	15578	14666	15618	14660	15402	15130	15218	15309	15334	15338	15070	15283	15329	15052	15046	15354	15298	15312	15058	15301	15337	15365	15288	15069	15319	15346	15309	15085	14817	14656	15143	15609	12603	14980	14955	15200	15105	15430	15050	14852	14200	15256	14524	14890	15719	14305	14084	15251	14775	14814	12746	14828	14948	14342	14415	14169	14875	15033	15135	15505	14796	14763	18870	16821	2517	16181	15639	15538	15071	15714	15717	12645	15783	15650	15099	16223	16844	16518	14914	19665	16181	14758	15505	15126	12100
CNXQ02000001	14027	14355	14015	14652	14786	14674	14599	14246	13745	14614	13864	14515	15747	14926	13867	15299	14726	14467	13883	18988	15150	15220	15306	17537	15232	16238	15203	15176	15322	16392	15305	16405	15903	14858	13907	15169	17405	15223	15154	13935	14648	15667	14588	15694	14580	19837	15345	15408	14170	14496	14506	14405	13932	14464	14660	0	14485	16884	13642	14342	16075	14389	15108	14650	14307	15808	14162	14189	14450	14403	14802	14684	14985	14379	15086	2410	2364	2378	15699	16245	14097	14974	13952	14171	14346	996	14482	14922	14948	14580	14472	14930	14338	14337	13728	13726	15294	15232	15084	14203	14201	13778	14937	15103	14702	13941	13984	60	14555	15159	15064	13907	15523	13967	14580	14577	13946	14607	16060	14065	14132	14367	16105	14138	15209	14586	14865	14367	15279	13772	14156	15515	15530	15555	15361	15568	15555	15680	15671	15567	15528	15526	15686	15495	15676	15575	15532	15719	15526	15554	15563	15355	13911	606	14247	14338	13977	14688	14699	14403	14461	15231	894	13539	14422	14550	14386	14212	14887	14530	14068	14041	14772	13507	14172	15081	14645	14511	13666	14355	15115	15049	14245	14991	14103	14078	18681	16372	14528	16261	15224	15610	14567	16220	16012	14196	15847	14293	14463	15395	17095	15843	15231	19767	16261	14047	14992	14485	13978
CNXR02000001	15455	14246	15061	15689	15758	15741	14101	13832	15165	15654	15342	14979	16709	15946	14830	14396	15163	15719	15324	19104	15797	15886	16030	18013	15846	17249	15992	15476	15759	17526	16094	17554	16341	15589	15307	14978	17986	15172	15225	14823	14644	16417	15666	16456	14425	20875	15779	16249	15203	14933	73	15558	15796	15587	15802	14485	0	17515	15247	15276	16882	15324	15813	15482	15460	15951	15647	15690	78	15520	15716	15555	16069	15337	16262	14581	14573	14554	16268	17015	14491	16522	15625	15504	15596	14591	14951	15899	15907	15928	15996	16517	15218	15336	15342	15357	15634	15633	16133	14493	14543	15482	15905	15982	15902	14911	14993	14475	16155	16055	15433	15098	16338	15182	15043	15768	15439	13906	16659	14753	16163	15716	17303	15132	15379	14633	15904	15200	14040	12374	14168	15008	16540	16545	16385	16597	16544	16638	16640	16554	16519	16510	16655	16487	16490	16570	16514	16655	16528	16519	16573	16399	15356	14487	15721	14896	15682	16327	16305	15921	15005	15686	14893	15379	15298	15424	15834	14626	15837	14920	15309	15646	15842	15355	15882	15686	16292	15773	15457	15261	15743	16031	15707	16535	14511	14478	19075	17271	15665	17275	16106	16557	15971	16993	16832	15690	16420	15911	14896	16530	17645	16680	16042	20415	17275	14471	16536	14885	15635
CNXS02000001	16872	16794	16785	16252	17060	17633	17455	16420	16627	17599	16725	16729	18038	17618	16496	17837	17059	16976	16694	20084	16702	17829	17292	18983	17691	16091	16581	17088	17521	18496	17111	18477	17307	17079	16672	17099	19452	17098	17233	16577	16634	17004	17377	17027	16415	21847	17148	16541	15566	16612	17510	17644	17077	15992	16586	16884	17515	0	16850	15698	3326	15733	16165	17547	17551	17551	17129	17143	17459	17593	17123	17043	17731	15739	17682	16975	17008	16956	17994	4162	17293	18177	17208	16983	17030	17005	16601	17687	17681	17702	17767	18135	15813	16055	16923	16924	17306	17124	17679	16499	16518	16824	17283	17466	17367	16538	16415	16869	17779	17571	17227	16752	17549	16722	16814	16375	17356	16639	16880	16355	17269	17206	18744	16591	16397	16960	17498	15885	16970	17585	16333	17651	17654	17669	17491	17735	17648	17664	17679	17659	17624	17644	17687	17616	17640	17698	17627	17696	17640	17624	17624	17534	17048	16863	17483	16811	17114	17618	17587	17637	16593	17275	17258	17202	15736	16837	17066	16744	17508	16672	15749	16903	17197	17172	17228	17079	17579	16028	16274	15854	17150	17369	17465	18191	17340	17275	20554	18256	16703	16185	17114	17940	16869	4119	3215	17120	17336	17749	16553	18021	5671	18723	17385	21311	16185	17261	18191	16554	17233
CNXT02000001	14297	13916	13683	14721	14849	15264	14191	14516	14093	15188	14140	14372	14991	15229	13720	14281	14903	14808	14050	19132	14588	14818	14895	16530	14872	16208	14624	15173	15432	15830	15934	15846	15365	15025	14046	14726	17793	15622	15643	13774	14791	16254	14725	16289	14437	20060	14846	15416	14120	14326	15268	9840	14263	14142	14648	13642	15247	16850	0	14245	15963	14463	15011	14399	9803	15519	14473	14554	15202	9826	14420	13938	15368	14262	15398	13546	13597	13548	14249	16163	13879	15529	14374	14025	14185	13807	14365	15306	15303	15960	15704	15514	14119	14249	151	102	15013	14989	15468	13616	13591	14106	14741	14019	14240	14001	13905	13661	15118	15355	14917	13555	16035	14211	14432	14836	15288	14098	15975	13564	14478	14417	16801	14466	15110	14443	14215	14553	13949	15153	14049	14556	15638	15656	15575	15618	15668	15728	15737	15651	15623	15631	15750	15638	15672	15679	15633	15765	15642	15813	15638	15594	14371	13577	14174	14522	14482	13435	13432	14241	14349	15020	13968	14726	14538	14583	14724	13772	15199	14360	14129	13983	14307	14689	14620	14629	13434	14383	14901	14153	14691	14538	14136	15543	13910	13859	18648	15631	14440	16290	15361	15505	14818	16150	15896	14529	15561	15637	14291	14842	16854	16091	15280	19941	16290	13861	15546	14293	14386
CNXU02000001	13888	13864	13798	9971	13790	15449	13986	13738	13769	15388	13890	14158	15251	14074	13750	14289	14099	14075	14025	18681	11709	15226	14848	16895	15103	12405	11655	14936	15002	16087	15781	16119	15721	14961	14045	14561	17158	14183	14268	14342	13999	16074	14512	16119	13889	19418	15144	3544	621	14876	15309	13897	14198	2469	14267	14342	15276	15698	14245	0	14811	2564	14962	14553	13879	14782	14171	14249	15222	13969	13845	14517	14004	121	13739	14184	14259	14223	14521	15656	14409	15070	14069	14270	14743	14454	14910	15459	15471	14808	15247	15028	2206	2997	14370	14366	14851	14927	14184	13728	13727	14221	14874	15244	15109	13660	13674	14358	14279	13957	14413	13656	16044	13694	14185	9567	13904	13919	11936	13634	14000	14202	16206	14343	15107	14019	15252	8347	13493	14476	14072	14721	14583	14576	14325	14633	14573	14674	14664	14588	14561	14566	14684	14549	14657	14616	14525	14697	14557	14958	14582	14336	14350	14352	14190	14818	13904	14369	14341	14290	14926	14967	14767	14249	2514	14042	13081	13920	15441	14406	1972	14215	13858	14230	14042	14376	14323	2521	14150	2467	14411	14130	14187	15084	14454	14385	18955	16175	14129	12320	12019	14452	14428	15644	14745	14365	14851	15166	14879	15812	16175	16198	14582	18254	12320	14373	15087	14881	14092
CNXV02000001	15939	16045	16023	14531	16236	16828	16522	15182	15785	16760	15781	15914	16899	16522	15603	16482	16232	16119	15957	19154	15353	16777	16793	17863	16604	14023	15266	16315	16530	17084	16304	17076	16421	16259	15935	16139	18469	16218	16349	15844	15822	16678	16257	16693	15695	21094	16410	15609	14649	15761	16923	16800	16154	15002	15778	16075	16882	3326	15963	14811	0	14794	15513	16707	16718	16716	16204	16274	16819	16795	16316	15724	16408	14860	16755	16175	16197	16141	16819	4601	16297	17356	16202	16029	16101	16189	15760	16871	16851	16974	16695	17301	14871	15104	16083	16087	16527	16368	16403	15685	15702	15924	16418	16102	16024	15840	15721	16057	16913	16370	16410	16007	16596	15867	15966	14608	16608	15809	15102	15573	16488	16234	18089	15676	15433	16179	16179	14123	15659	16728	15466	16858	16293	16303	16140	16475	16287	16254	16277	16294	16284	16283	16281	16246	16289	16336	16272	16288	16288	16276	16285	16181	15989	16037	16482	15562	16193	16703	16664	16640	15728	16520	16426	16019	14798	16150	15609	15941	16668	15839	14686	15963	16396	15979	16345	16269	16662	15290	15456	14979	16332	16597	16481	17370	16279	16277	19648	16651	15883	14092	15921	16604	15481	4569	133	16261	16450	16731	15694	16677	6077	17826	16124	19763	14092	16263	17370	15706	16221
CNXW02000001	14031	13683	14022	9688	13883	15630	14151	13408	13928	15607	14024	14299	15311	14390	13588	14340	14253	13885	14283	18436	11685	15241	14882	16965	15127	12142	11648	15081	15059	16170	15810	16194	15812	15023	14301	14469	17061	14220	14259	14569	14170	16024	14700	16073	14128	19407	15164	1484	2934	14915	15361	14316	14518	2797	14192	14389	15324	15733	14463	2564	14794	0	14936	14767	14292	15177	14507	14565	15275	14356	13960	14770	14129	2602	13506	14245	14306	14272	14603	15635	14484	15196	14303	14407	14787	14534	14940	15682	15688	14978	15063	15105	2415	3276	14596	14588	14958	14987	14312	13548	13535	14347	15052	15101	15098	13604	13625	14405	14474	14172	14734	13947	15818	13885	14342	9434	13820	13700	12053	13442	14149	14299	15902	14613	15007	14319	15163	8073	13609	14434	13877	14704	14699	14710	14450	14728	14703	14865	14858	14719	14685	14687	14871	14682	14772	14739	14656	14890	14677	15078	14712	14467	14562	14392	14538	14617	14105	14740	14697	14677	14960	15039	14802	14385	486	14098	13477	13617	15656	14485	2096	14505	13967	14355	14267	14618	14674	2483	14326	2667	14659	14234	14542	15211	14488	14460	18832	15956	13890	12123	11768	14503	14459	15615	14751	14608	14772	14996	14910	15798	16044	16240	14547	18176	12123	14450	15213	14912	14335
CNXX02000001	15187	15046	15226	15870	15719	15476	15807	14570	15039	15446	15007	15489	16188	15969	14734	16043	15581	16044	15167	19163	15892	16067	15744	17796	15937	16915	15824	15693	15436	16922	11746	16924	12236	15352	15190	15051	18064	14906	15253	14825	15255	12044	16100	12081	14923	20576	11326	15957	14792	15582	15773	15969	15772	15025	15096	15108	15813	16165	15011	14962	15513	14936	0	14949	15889	15208	15685	15787	15742	15930	15438	15031	15911	15017	16165	15138	15201	15132	16158	15642	15686	16886	15296	15694	15733	15236	15605	15656	15665	16128	16023	16807	14955	14953	15147	15151	10971	11053	16009	14921	14928	15647	16097	15619	15940	14827	14837	15144	16486	15924	16100	15106	10744	15089	15519	15884	15972	15055	16620	14749	15733	15316	17820	15168	15423	15583	15903	15744	15449	15583	14506	16421	15978	15965	16099	15900	15963	16144	16180	15977	15952	15955	16176	15943	16165	15993	15912	16178	15968	16004	15955	16088	15526	15051	15708	15627	15602	16247	16201	15813	15622	11065	15500	15541	14985	14908	15255	15019	15670	15524	14925	15721	15356	15537	15787	15342	16205	15317	14842	14984	15423	15659	15730	16899	15717	15683	14235	16892	15094	17003	16763	16035	15698	15611	15477	15779	16017	16157	15537	16682	16552	16783	15451	20391	17003	15663	16901	15543	15321
